fabricante,modelo,codigos,descripciones
SHURE,PG30TQG,"[""123508"", ""13867""]","[""Microfono Headset"", ""Microfono Headset (con salida mini plug)""]"
SHURE,PG4,"[""40750"", ""CO REM01""]","[""Receptor Inalambrico Mic Shure Pgxd"", ""Receptor inalámbrico para microfono PG""]"
SHURE,PGDMK6,"[""11821"", ""12519"", ""PE MIC27""]","[""Set de bateria PGDMK6"", ""Kit de bateria de 6 micrófonos"", ""Kit de Bateria de 6 Microfonos""]"
SHURE,PGX4,"[""11526"", ""PE MIC10""]","[""Receptor Inalambrico Mic Shure PG"", ""Receptor PG""]"
SHURE,QLDX4,"[""PE MIC14"", ""XXX224""]","[""Receptor QLX"", ""Receptor Inalambrico QLX""]"
SHURE,QLX,"[""DFJUFTJKSHSD"", ""XXX039"", ""XXX040"", ""XXX041""]","[""Microfono de Mano Volante QLX"", ""Microfono Inalambrico Volante/Mano QLX"", ""Microfono Inalambrico Lavalier/Solapa QLX"", ""Microfono Inalambrico Lavalier / Solapa QLX""]"
SHURE,QLXD1,"[""12573"", ""PE MIC07"", ""XXX216""]","[""Microfono Inalambrico Lavalier / Solapa"", ""Microfono Solapa QLX"", ""Micrófono Inalámbrico de Solapa QLX   BORRAR""]"
SHURE,QLXD4,"[""12577"", ""CO REM04"", ""XXX333""]","[""Receptor de micrófono Shure QLXD"", ""Receptor inalámbrico para microfono QLXD"", ""Receptor para microfono Inalambrico QLXD4""]"
SHURE,SB903,"[""41151"", ""CO ACC59"", ""PE MIC09""]","[""Baterias recargables para microfono"", ""Bateria recargable para microfono SLXD"", ""Bateria de MicrofonIa SLXD4""]"
SHURE,SBC200,"[""PE ACC36"", ""XXX204""]","[""Cargador Doble Shure sin Fuente"", ""Cargador Doble Shure sin Fuente""]"
SHURE,SBC200-US,"[""PE ACC35"", ""PE MIC23"", ""XXX177"", ""XXX203""]","[""Cargador Doble Shure con Fuente"", ""Bateria de Microfonia QLX"", ""Bateria Recargable Inteligente"", ""Cargador Doble Shure con Fuente""]"
SHURE,SLX,"[""12954"", ""12955"", ""PE MIC02"", ""PE MIC12""]","[""Microfono Inalambrico de Podio"", ""Receptor Inalambrico para Micro de Podio"", ""Microfono Solapa SLX"", ""Microfono Mano SLX""]"
SHURE,SLX-1,"[""10367"", ""CO MIC09""]","[""Microfono Inalambrico Lavalier / Solapa SLX"", ""Microfono Inalámbrico de Solapa SLX""]"
SHURE,SLX-2,"[""11231"", ""11580"", ""CO MIC08""]","[""Microfono Inalambrico Volante/Mano SLX"", ""Micrófono Inalámbrico de Mano"", ""Microfono Inalámbrico de Mano SLX""]"
SHURE,SLX-4,"[""11901"", ""CO REM03""]","[""Receptor Inalambrico Mic Shure SLX"", ""Receptor inalámbrico para microfono SLX""]"
SHURE,SLXD-1,"[""CO MIC13"", ""PE MIC13""]","[""Microfono Inalámbrico de Solapa SLXD"", ""Microfono Solapa SLXD""]"
SHURE,SLXD-2,"[""CO MIC14"", ""PE MIC01""]","[""Microfono Inalambrico de Mano SLXD"", ""Microfono Mano SLXD4""]"
SHURE,SLXD-4,"[""CO REM07"", ""PE MIC11""]","[""Receptor inalambrico para microfono SLXD"", ""Receptor SLX""]"
SHURE,SM-57,"[""10739"", ""CO MIC21"", ""PE MIC18""]","[""Microfono Alambrico Dinamico"", ""Microfono Alámbrico Dinámico"", ""Microfono Dinamico Alambrico 57""]"
SHURE,SM-58,"[""10063"", ""CO MIC01"", ""PE MIC17""]","[""Microfono Alambrico Dinámico"", ""Microfono Alámbrico Dinámico"", ""Microfono Dinamico Alambrico 58 griss""]"
SHURE,UA802,"[""CO CAB02"", ""F004""]","[""Cable Coaxial para antena 60 mts"", ""Cable BNC M-M 60 mts""]"
SHURE,UA8100,"[""78898"", ""CO CAB14"", ""F003"", ""XXX217""]","[""Cable Coaxial Shure"", ""Cable Coaxial para antena 30 mts"", ""Cable BNC M-M 30 mts"", ""Cable Coaxial 30metros""]"
SHURE,UA844SWB,"[""13255"", ""CO ANT01""]","[""Distribuidor de antenas (4 Mic)"", ""Distribuidor de antenas""]"
SHURE,UA850,"[""CO CAB16"", ""F002""]","[""Cable Coaxial para antena 15 mts"", ""Cable BNC M-M 15 mts""]"
SHURE,UA874US,"[""11893"", ""CO ANT02"", ""PE ANT04"", ""XXX202""]","[""Antena direccional de Banda Ancha"", ""Antena activa Shure"", ""Antena direccional de Banda Ancha"", ""Antena Activa Direccional""]"
SHURE,UA874WB,"[""40699"", ""CO ANT04""]","[""Antena Activa Direccional"", ""Antena activa Shure""]"
SHURE,WCE6TD,"[""12244"", ""CO MIC05""]","[""Capsula  de Cintillo"", ""Microfono de Diadema  tipo countryman""]"
